item_id,_orig_index,source,model,prompt_type,dor_human_median,dor_judge_median,dor_judge_calibrated_to_human,ori_human_median,ori_judge_median,ori_judge_calibrated_to_human
1,4619,MMLU,model_claude_35_haiku,adversarial,9.0,6.0,8.125000243746051,8.0,4.5,7.0000002821559
2,4314,HellaSwag,model_claude_35_haiku,naive,4.0,6.0,8.125000243746051,7.0,6.0,7.00000022276736
3,1280,MMLU,model_gpt_4o_mini,naive,4.0,5.5,8.00000029999656,7.0,6.0,7.00000022276736
4,2697,HellaSwag,model_ds_v3,adversarial,9.0,8.0,8.625000018744016,6.0,5.5,7.000000242563541
5,2008,HellaSwag,model_grok_3_mini_beta,adversarial,10.0,9.0,8.874999906243,9.0,6.5,7.00000020297118
6,6477,ARC,model_gpt_41_nano,adversarial,10.0,6.5,8.250000187495543,9.0,6.0,7.00000022276736
7,8925,ARC,model_gpt_4o_mini,cot,9.0,6.5,8.250000187495543,9.0,4.0,7.000000301952081
8,77,HellaSwag,model_gpt_4o_mini,cot,9.0,9.0,8.874999906243,7.0,6.5,7.00000020297118
9,5038,MMLU,model_gpt_4o_mini,adversarial,10.0,7.5,8.500000074994524,7.0,5.5,7.000000242563541
10,4949,HellaSwag,model_ds_v3,adversarial,8.0,7.5,8.500000074994524,5.0,6.0,7.00000022276736
11,5899,MMLU,model_grok_3_mini_beta,cot,9.0,9.5,8.999999849992491,6.0,8.0,7.00000014358264
12,4527,HellaSwag,model_gpt_41_nano,adversarial,9.0,8.0,8.625000018744016,6.0,7.2,7.000000175256528
13,620,ARC,model_gpt_41_nano,naive,4.0,5.0,7.875000356247067,4.0,5.5,7.000000242563541
14,4178,ARC,model_grok_3_mini_beta,naive,3.0,8.0,8.625000018744016,5.0,5.5,7.000000242563541
15,9988,ARC,model_gpt_4o_mini,adversarial,7.0,9.0,8.874999906243,8.0,7.5,7.000000163378821
16,4393,HellaSwag,model_claude_35_haiku,adversarial,10.0,6.5,8.250000187495543,8.0,5.5,7.000000242563541
17,1080,ARC,model_claude_35_haiku,cot,9.0,8.5,8.749999962493508,10.0,5.5,7.000000242563541
18,1838,MMLU,model_claude_35_haiku,naive,4.0,9.2,8.924999883742796,8.0,6.0,7.00000022276736
19,970,MMLU,model_ds_v3,adversarial,9.0,8.5,8.749999962493508,9.0,7.5,7.000000163378821
20,4183,ARC,model_grok_3_mini_beta,adversarial,9.0,7.5,8.500000074994524,10.0,5.5,7.000000242563541
21,6958,HellaSwag,model_grok_3_mini_beta,adversarial,10.0,6.5,8.250000187495543,9.0,5.0,7.000000262359721
22,46,ARC,model_grok_3_mini_beta,cot,9.0,8.5,8.749999962493508,9.0,6.0,7.00000022276736
23,8692,HellaSwag,model_ds_v3,naive,4.0,9.0,8.874999906243,6.0,6.0,7.00000022276736
24,10078,ARC,model_gpt_41_nano,adversarial,9.0,9.2,8.924999883742796,9.0,8.2,7.000000135664168
25,9074,ARC,model_ds_v3,adversarial,9.0,9.0,8.874999906243,8.0,6.5,7.00000020297118
26,4029,ARC,model_grok_3_mini_beta,naive,3.0,3.0,7.375000581249101,5.0,3.0,7.000000341544441
27,8997,ARC,model_ds_v3,adversarial,8.0,9.0,8.874999906243,7.0,7.5,7.000000163378821
28,778,MMLU,model_gpt_41_nano,adversarial,9.0,9.0,8.874999906243,10.0,6.5,7.00000020297118
29,1977,HellaSwag,model_gpt_41_nano,adversarial,9.0,9.0,8.874999906243,9.0,6.5,7.00000020297118
30,806,MMLU,model_grok_3_mini_beta,adversarial,9.0,9.0,8.874999906243,9.0,7.5,7.000000163378821
31,2431,MMLU,model_claude_35_haiku,cot,9.0,7.5,8.500000074994524,8.0,6.0,7.00000022276736
32,2510,MMLU,model_claude_35_haiku,naive,5.0,9.0,8.874999906243,9.0,6.0,7.00000022276736
33,194,ARC,model_claude_35_haiku,adversarial,9.0,9.0,8.874999906243,8.0,6.5,7.00000020297118
34,8460,ARC,model_ds_v3,cot,8.0,8.0,8.625000018744016,8.0,5.5,7.000000242563541
35,3880,MMLU,model_grok_3_mini_beta,adversarial,9.0,6.5,8.250000187495543,8.0,5.0,7.000000262359721
36,1373,HellaSwag,model_gpt_41_nano,naive,4.0,9.0,8.874999906243,3.0,6.5,7.00000020297118
37,9247,ARC,model_gpt_41_nano,naive,3.0,8.5,8.749999962493508,3.0,7.5,7.000000163378821
38,2184,HellaSwag,model_gpt_4o_mini,naive,1.0,7.5,8.500000074994524,6.0,5.0,7.000000262359721
39,1596,MMLU,model_gpt_41_nano,naive,2.0,9.0,8.874999906243,3.0,6.5,7.00000020297118
40,7761,HellaSwag,model_claude_35_haiku,naive,2.0,9.0,8.874999906243,5.0,6.5,7.00000020297118
41,67,ARC,model_ds_v3,naive,2.0,8.0,8.625000018744016,3.0,6.0,7.00000022276736
42,6533,HellaSwag,model_gpt_4o_mini,naive,1.0,9.0,8.874999906243,6.0,6.5,7.00000020297118
43,8042,HellaSwag,model_gpt_41_nano,cot,9.0,9.0,8.874999906243,8.0,7.5,7.000000163378821
44,6466,ARC,model_gpt_41_nano,cot,7.0,8.0,8.625000018744016,7.0,7.5,7.000000163378821
45,9493,HellaSwag,model_claude_35_haiku,adversarial,9.0,8.0,8.625000018744016,8.0,6.0,7.00000022276736
46,7819,HellaSwag,model_gpt_41_nano,cot,9.0,9.0,8.874999906243,8.0,8.5,7.00000012378646
47,7779,HellaSwag,model_grok_3_mini_beta,naive,1.0,9.0,8.874999906243,5.0,7.5,7.000000163378821
48,2850,ARC,model_gpt_4o_mini,cot,9.0,8.5,8.749999962493508,8.0,6.0,7.00000022276736
49,7277,MMLU,model_gpt_4o_mini,cot,7.0,9.0,8.874999906243,8.0,7.5,7.000000163378821
50,9795,HellaSwag,model_grok_3_mini_beta,cot,9.0,7.5,8.500000074994524,7.0,6.0,7.00000022276736
